Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Short,2025-10-03,2025-10-07,0.8529,0.8540,-0.1265,-126.4738,0.4483,0.6608,Closed,Signal,4
1,Long,2025-10-07,2025-10-10,0.8540,0.8645,1.2346,1232.9980,0.6608,0.4811,Closed,Signal,3
2,Short,2025-10-10,2025-10-21,0.8645,0.8588,0.6575,657.5327,0.4811,0.8529,Closed,Signal,11
3,Long,2025-10-21,2025-10-22,0.8588,0.8621,0.3768,376.8103,0.8529,0.4316,Closed,Signal,1
4,Short,2025-10-22,2025-10-23,0.8621,0.8615,0.0710,71.0081,0.4316,0.7855,Closed,Signal,1
5,Long,2025-10-23,2025-10-24,0.8615,0.8607,-0.0833,-83.3498,0.7855,0.4656,Closed,Signal,1
6,Short,2025-10-24,2025-10-28,0.8607,0.8581,0.3050,305.0088,0.4656,0.4569,Open,Signal,4
