bucket_id,feature_count,Best OOS Sharpe,Best OOS Sortino,Best OOS Omega,Avg OOS Sharpe,Sharpe StdDev (Robustness),Best IS Sharpe,Avg Sharpe Degradation [%],Total Return [%],Max Drawdown [%],Calmar Ratio,Profit Factor,Win Rate [%],total_trades
1,3.0,0.42640049208421726,0.8206519517164379,1.2685849353239163,-0.591665675888823,0.53402957400573,1.2601600283086458,256.80435380893726,26.6798217674326,-24.61188950055985,0.8624998260567681,1.3351084941909128,51.35135135135135,75.0
2,4.0,0.3937942275039888,0.6012041049589523,1.221129426105765,-0.08743361888493058,0.2495306880004741,1.8319508019800328,123.7120887736138,24.55398375728852,-25.758819855546054,0.7651415622665446,1.247873110423758,48.05194805194805,78.0
3,5.0,0.4929455610320843,1.5781956120480007,1.9680991753412298,-0.20447885420992587,0.5792441926338404,2.3898673883087027,123.62109209714431,30.21681371418634,-12.961482818155574,0.8515800912859371,1.7416137624283243,38.46153846153847,14.0
4,6.0,0.7814716244974284,1.6840740828894436,1.536576934795486,-0.7574972806086557,1.4294879373297193,0.9375965584887072,115.81294051854472,51.235184996607664,-17.477447745122962,2.1583315160106773,1.6390970290153128,52.85714285714286,71.0
5,7.0,0.203662080046734,0.2675122729984108,1.1964921861439508,-1.5678091469955509,2.186683061734255,-2.464103919656795,,8.873875684159094,-13.3516,0.3794498098969289,1.3503707892057295,68.75,16.0
6,8.0,0.5751190217728264,1.3079027785788917,2.148254032865735,-0.08142013045664408,0.3489686104208895,2.7831888803088143,100.79712680429674,35.283442668552986,-13.745600000000003,1.138235478280362,1.6135938266882357,66.66666666666666,10.0
Buy & Hold,,0.5,0.7,1.1,,,,,39.68271125477485,-30.0,,,,
