bucket_id,feature_count,Best OOS Sharpe,Best OOS Sortino,Best OOS Omega,Avg OOS Sharpe,Sharpe StdDev (Robustness),Best IS Sharpe,Avg Sharpe Degradation [%],Total Return [%],Max Drawdown [%],Calmar Ratio,Profit Factor,Win Rate [%],total_trades
1,3.0,2.7265337750579968,7.90983780436948,2.6689495609864022,0.2658900265064421,2.6173329198515147,4.261616462195781,60.760776799312964,59.88861581126776,-1.9083845913028845,17.0617436032876,3.223017433908723,63.42857142857142,176.0
2,4.0,3.6431916082098317,10.482422929922874,3.6909389792036196,0.9437074957891937,1.5911595599010326,5.691439028942813,32.26248622997702,90.18462244385184,-3.3247541270000047,17.889807868863183,4.523651614054195,70.98445595854922,194.0
3,5.0,1.917484346627591,4.762550977454393,2.3714062772963502,0.11061788421790716,1.91871270581367,3.6793189188508513,75.21731712030622,33.64544532348117,-3.3136586613753094,6.537644202972757,3.194317016365764,67.27272727272727,110.0
4,6.0,2.1394623903467944,4.453813767886814,2.1007291291531427,0.34409501349886196,0.8826800437038484,5.661187343557767,72.61328112051105,40.46175463467527,-3.072538906914845,10.805901058096984,2.537529417233645,62.34567901234568,163.0
5,7.0,3.7863066936438567,12.952869456583155,4.290990570966873,0.29807652231104015,1.5852097744426896,6.611232847717424,116.9819590071767,100.03649636205351,-2.501102692000005,27.35466682157324,5.406742713445548,71.92118226600985,204.0
6,8.0,3.5358419433366093,14.897681386689465,4.2877151214297315,0.7146580062030847,1.5354471225063497,5.933168992397047,39.26977030598584,89.40598206693879,-1.7967205184098125,26.041710483620168,5.580297806385915,70.2247191011236,179.0
Buy & Hold,,0.5,0.7,1.1,,,,,5.341004564870855,-30.0,,,,
