Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Long,2025-10-02,2025-10-03,0.8522,0.8529,0.0763,76.2627,0.2281,0.5815,Closed,Signal,1
1,Short,2025-10-03,2025-10-07,0.8529,0.8540,-0.1266,-126.6377,0.5815,0.3786,Closed,Signal,4
2,Long,2025-10-07,2025-10-15,0.8540,0.8619,0.9310,930.4964,0.3786,0.7179,Closed,Signal,8
3,Short,2025-10-15,2025-10-21,0.8619,0.8588,0.3620,361.9862,0.7179,0.1958,Closed,Signal,6
4,Long,2025-10-21,2025-10-23,0.8588,0.8614,0.3097,309.7386,0.1958,0.5154,Closed,Signal,2
5,Short,2025-10-23,2025-10-28,0.8614,0.8579,0.4109,410.9399,0.5154,0.4986,Closed,Signal,5
6,Long,2025-10-28,2025-10-28,0.8579,0.8579,0.0000,0.0000,0.4986,0.4986,Open,Signal,0
