Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Short,2025-10-02,2025-10-03,0.8523,0.8529,-0.0734,-73.3811,0.4601,0.6186,Closed,Signal,1
1,Long,2025-10-03,2025-10-09,0.8529,0.8599,0.8216,820.9870,0.6186,0.3710,Closed,Signal,6
2,Short,2025-10-09,2025-10-21,0.8599,0.8588,0.1245,124.4650,0.3710,0.8715,Closed,Signal,12
3,Long,2025-10-21,2025-10-22,0.8588,0.8621,0.3768,376.8103,0.8715,0.4163,Closed,Signal,1
4,Short,2025-10-22,2025-10-23,0.8621,0.8615,0.0710,71.0081,0.4163,0.7948,Closed,Signal,1
5,Long,2025-10-23,2025-10-28,0.8615,0.8581,-0.3881,-388.1043,0.7948,0.4531,Closed,Signal,5
6,Short,2025-10-28,2025-10-28,0.8581,0.8581,0.0000,0.0000,0.4531,0.4531,Open,Signal,0
