Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,116291.59639241754,2025-10-09,0.8599073630613623,0.0,2025-10-10,0.8645215915792074,0.0,536.5960004596272,0.0053659600045962725,Long,Closed,0
1,0,115670.91091077511,2025-10-10,0.8645215915792074,0.0,2025-10-21,0.858837079250338,0.0,657.5327191638498,0.006575327191638498,Short,Closed,1
2,0,116436.51912105149,2025-10-21,0.858837079250338,0.0,2025-10-22,0.8620732657401208,0.0,376.81029009688064,0.0037681029009688062,Long,Closed,2
3,0,115999.42136489572,2025-10-22,0.8620732657401208,0.0,2025-10-23,0.8614611243065612,0.0,71.0080520863994,0.0007100805208639941,Short,Closed,3
4,0,116081.84882457192,2025-10-23,0.8614611243065612,0.0,2025-10-28,0.858117756244931,0.0,-388.10434589505894,-0.0038810434589505896,Long,Open,4
