bucket_id,feature_count,Best OOS Sharpe,Best OOS Sortino,Best OOS Omega,Avg OOS Sharpe,Sharpe StdDev (Robustness),Best IS Sharpe,Avg Sharpe Degradation [%],Total Return [%],Max Drawdown [%],Calmar Ratio,Profit Factor,Win Rate [%],total_trades
1,3.0,4.678562938313399,24.607149030138412,6.522246753378472,1.6938701559981773,2.0330285684609364,7.653061503546414,70.99213211080834,232.89542949250563,-1.6805202173999962,63.42931931012411,8.011171385954029,70.83333333333334,217.0
2,4.0,4.146127150912973,14.194368939882319,4.743607077442884,2.0081001098548796,1.7086381144934295,7.453594638645167,57.52323325114709,185.0819708484345,-6.427749468870965,16.499589303371266,5.59208630833603,69.65174129353234,202.0
3,5.0,4.730134672884462,22.40379021633585,6.311549675358572,1.86036568891265,1.7949148015578482,8.013529711515476,52.51606657689416,174.98456522481948,-1.470278309111053,47.70190636980374,8.04072493277472,73.84615384615385,196.0
4,6.0,2.650200746092821,8.674618920070749,3.775466478915511,-0.21269653075600972,1.9929800375100974,4.383011201678879,86.20146359295286,77.45991022996796,-2.3668844130000006,14.711886647518778,4.902745320487656,71.15384615384616,105.0
5,7.0,4.227499241087236,12.289320164949023,3.94923304176293,-0.2928944999850361,2.4778149065968216,8.015312403308455,176.18470354314232,175.9414659581461,-2.9156689885000007,26.57068987900594,4.520075591613186,66.80851063829788,236.0
6,8.0,1.596471665953817,2.536537168112324,2.13138359545864,-0.40635795499015737,1.7282814922012937,5.100929311019676,106.12028850650614,48.262463560912835,-6.546693142314288,4.330054025899561,2.3959030963325603,65.38461538461539,105.0
Buy & Hold,,0.5,0.7,1.1,,,,,7.1102243805904575,-30.0,,,,
