Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,117340.58856964111,2025-10-02,0.8522200307581588,0.0,2025-10-03,0.8528699566204518,0.0,76.2626832081005,0.000762626832081005,Long,Closed,0
1,0,117251.16968154907,2025-10-03,0.8528699566204518,0.0,2025-10-09,0.8597000143170467,0.0,-800.8322539182118,-0.008008322539182117,Short,Closed,1
2,0,115476.8277026902,2025-10-09,0.8597000143170467,0.0,2025-10-10,0.8645699993280177,0.0,562.3704200265784,0.0056647492495853075,Long,Closed,2
3,0,115664.4344329834,2025-10-10,0.8645699993280177,0.0,2025-10-21,0.8587800310645357,0.0,669.6934045805683,0.006696934045805683,Short,Closed,3
4,0,116444.25392150879,2025-10-21,0.8587800310645357,0.0,2025-10-22,0.8620400217364675,0.0,379.60718158418604,0.0037960718158418605,Long,Closed,4
5,0,116003.8948059082,2025-10-22,0.8620400217364675,0.0,2025-10-28,0.857900003190813,0.0,480.25827586461673,0.004802582758646167,Short,Closed,5
6,0,116563.70162963867,2025-10-28,0.857900003190813,0.0,2025-10-28,0.857900003190813,0.0,0.0,0.0,Long,Open,6
