Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Long,2025-10-02,2025-10-03,0.8522,0.8529,0.0763,76.2627,0.1431,0.7646,Closed,Signal,1
1,Short,2025-10-03,2025-10-09,0.8529,0.8597,-0.8008,-800.8323,0.7646,0.2005,Closed,Signal,6
2,Long,2025-10-09,2025-10-10,0.8597,0.8646,0.5665,562.3704,0.2005,0.6215,Closed,Signal,1
3,Short,2025-10-10,2025-10-21,0.8646,0.8588,0.6697,669.6934,0.6215,0.1408,Closed,Signal,11
4,Long,2025-10-21,2025-10-22,0.8588,0.8620,0.3796,379.6072,0.1408,0.6966,Closed,Signal,1
5,Short,2025-10-22,2025-10-28,0.8620,0.8579,0.4803,480.2583,0.6966,0.4300,Closed,Signal,6
6,Long,2025-10-28,2025-10-28,0.8579,0.8579,0.0000,0.0000,0.4300,0.4300,Open,Signal,0
