bucket_id,feature_count,Best OOS Sharpe,Best OOS Sortino,Best OOS Omega,Avg OOS Sharpe,Sharpe StdDev (Robustness),Avg Sharpe Degradation [%],Total Return [%],Max Drawdown [%],Calmar Ratio,Profit Factor,Win Rate [%],total_trades
1,3.0,1.3323201865529568,9.43611937306309,10.143195605649067,-0.38932726452667127,1.9264798586550451,,187.1890989823743,-10.583100000000009,5.038324915874945,10.606096757229958,80.0,6.0
2,4.0,1.1999859422457746,10.372091708444437,10.638908837075011,-0.14958851375502294,1.7081340100754774,,160.3174349421537,-8.96620000000001,3.496182660187055,11.394078076763217,66.66666666666666,4.0
3,5.0,1.7550288835399062,224.2050173305852,43.20122047077146,0.03424490463668537,1.822177867496016,,139.27680549378573,-0.4179999999999957,2.5018457348148493,181.32854040035625,75.0,5.0
4,6.0,3.349238881203561,5099.958313748942,331.5811968932881,-0.5197425760936478,2.0671302252095565,,103.1125670596,-0.0,2.0828722816720044,inf,100.0,2.0
5,7.0,1.2125739490543028,21.233398347951827,13.713989775501606,-0.15157815395188498,1.5683312370012066,,162.4566855023017,-5.440398542200001,3.681847101036226,8.826272747912974,62.5,9.0
6,8.0,1.8685583943427588,2826.8738692877955,181.72772150840365,-0.5324747916815795,2.3384772433074725,,174.89224558666706,-0.0,3.479745537913664,inf,100.0,3.0
Buy & Hold,,0.5,0.7,1.1,,,,141.7875138571867,-30.0,,,,
