,Model 7
Start,2025-10-02 00:00:00
End,2025-10-28 00:00:00
Period,19 days 00:00:00
Start Value,100000.0
End Value,101454.69094231476
Total Return [%],1.454690942314759
Benchmark Return [%],0.6846461670433568
Max Gross Exposure [%],101.17101965895844
Total Fees Paid,0.0
Max Drawdown [%],0.830176409862155
Max Drawdown Duration,8 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],62.5
Best Trade [%],0.8567313631854632
Worst Trade [%],-0.4534205460112571
Avg Winning Trade [%],0.47461311574820725
Avg Losing Trade [%],-0.30612487880876876
Avg Winning Trade Duration,2 days 04:48:00
Avg Losing Trade Duration,2 days 08:00:00
Profit Factor,2.583984231070889
Expectancy,181.83636778934124
Sharpe Ratio,5.08703761390356
Calmar Ratio,38.51565045538301
Omega Ratio,1.946674051496226
Sortino Ratio,8.25893518275105
Avg. Risk/Reward Ratio,inf
