Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,117333.07356157353,2025-10-02,0.8522746141779235,0.0,2025-10-14,0.8645745400277185,0.0,1443.1881045358896,0.014431881045358896,Long,Closed,0
1,0,115663.82696949875,2025-10-14,0.8645745400277184,0.0,2025-10-21,0.858837079250338,0.0,663.6166705992073,0.006636166705992073,Short,Closed,1
2,0,116436.51912105149,2025-10-21,0.858837079250338,0.0,2025-10-22,0.8620732657401208,0.0,376.81029009688064,0.0037681029009688062,Long,Closed,2
3,0,115999.42136489572,2025-10-22,0.8620732657401208,0.0,2025-10-23,0.8614611243065612,0.0,71.0080520863994,0.0007100805208639941,Short,Closed,3
4,0,116081.84882457192,2025-10-23,0.8614611243065612,0.0,2025-10-28,0.858117756244931,0.0,-388.10434589505894,-0.0038810434589505896,Long,Closed,4
5,0,116534.1228196858,2025-10-28,0.8581177562449311,0.0,2025-10-28,0.858117756244931,0.0,0.0,0.0,Short,Open,5
