Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Long,2025-10-02,2025-10-14,0.8523,0.8646,1.4432,1443.1881,0.6469,0.4374,Closed,Signal,12
1,Short,2025-10-14,2025-10-21,0.8646,0.8588,0.6636,663.6167,0.4374,0.8779,Closed,Signal,7
2,Long,2025-10-21,2025-10-22,0.8588,0.8621,0.3768,376.8103,0.8779,0.4851,Closed,Signal,1
3,Short,2025-10-22,2025-10-23,0.8621,0.8615,0.0710,71.0081,0.4851,0.6266,Closed,Signal,1
4,Long,2025-10-23,2025-10-28,0.8615,0.8581,-0.3881,-388.1043,0.6266,0.4792,Closed,Signal,5
5,Short,2025-10-28,2025-10-28,0.8581,0.8581,0.0000,0.0000,0.4792,0.4792,Open,Signal,0
