Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Long,2025-10-02,2025-10-03,0.8522,0.8529,0.0763,76.2627,0.1629,0.7254,Closed,Signal,1
1,Short,2025-10-03,2025-10-08,0.8529,0.8580,-0.6050,-605.0269,0.7254,0.1795,Closed,Signal,5
2,Long,2025-10-08,2025-10-15,0.8580,0.8619,0.4510,448.6414,0.1795,0.8321,Closed,Signal,7
3,Short,2025-10-15,2025-10-21,0.8619,0.8588,0.3620,361.9862,0.8321,0.1632,Closed,Signal,6
4,Long,2025-10-21,2025-10-23,0.8588,0.8614,0.3097,309.7386,0.1632,0.5969,Closed,Signal,2
5,Short,2025-10-23,2025-10-28,0.8614,0.8579,0.4109,410.9399,0.5969,0.4330,Closed,Signal,5
6,Long,2025-10-28,2025-10-28,0.8579,0.8579,0.0000,0.0000,0.4330,0.4330,Open,Signal,0
