Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Short,2025-10-03,2025-10-21,0.8529,0.8588,-0.6961,-696.1023,0.4403,0.6689,Closed,Signal,18
1,Long,2025-10-21,2025-10-22,0.8588,0.8621,0.3768,374.1873,0.6689,0.3251,Closed,Signal,1
2,Short,2025-10-22,2025-10-23,0.8621,0.8615,0.0710,71.0081,0.3251,0.6027,Closed,Signal,1
3,Long,2025-10-23,2025-10-28,0.8615,0.8581,-0.3881,-387.1306,0.6027,0.4665,Open,Signal,5
